date,hol_we
2022-11-05,noVALUE
2022-11-04,noVALUE
2022-11-03,noVALUE
2022-11-02,noVALUE
2022-10-31,noVALUE
2022-10-30,WE_0
2022-10-29,noVALUE
2022-10-28,noVALUE
2022-10-27,noVALUE
2022-10-26,noVALUE
2022-10-25,noVALUE
2022-10-24,noVALUE
2022-10-23,WE_0
2022-10-22,noVALUE
2022-10-21,noVALUE
2022-10-20,noVALUE
2022-10-19,noVALUE
2022-10-18,noVALUE
2022-10-17,noVALUE
2022-10-16,WE_0
2022-10-15,noVALUE
2022-10-14,noVALUE
2022-10-13,noVALUE
2022-10-12,noVALUE
2022-10-11,noVALUE
2022-10-10,noVALUE
2022-10-09,WE_0
2022-10-08,noVALUE
2022-10-07,noVALUE
2022-10-06,noVALUE
2022-10-05,noVALUE
2022-10-04,noVALUE
2022-10-03,noVALUE
2022-10-02,WE_0
2022-10-01,noVALUE
2022-09-30,noVALUE
2022-09-29,noVALUE
2022-09-28,noVALUE
2022-09-27,noVALUE
2022-09-26,noVALUE
2022-09-25,WE_0
2022-09-24,noVALUE
2022-09-23,noVALUE
2022-09-22,noVALUE
2022-09-21,noVALUE
2022-09-20,noVALUE
2022-09-19,noVALUE
2022-09-18,WE_0
2022-09-17,noVALUE
2022-09-16,noVALUE
2022-09-15,noVALUE
2022-09-14,noVALUE
2022-09-13,noVALUE
2022-09-12,noVALUE
2022-09-11,WE_0
2022-09-10,noVALUE
2022-09-09,noVALUE
2022-09-08,noVALUE
2022-09-07,noVALUE
2022-09-06,noVALUE
2022-09-05,noVALUE
2022-09-04,WE_0
2022-09-03,noVALUE
2022-09-02,noVALUE
2022-09-01,noVALUE
2022-08-31,noVALUE
2022-08-30,noVALUE
2022-08-29,noVALUE
2022-08-28,WE_0
2022-08-27,noVALUE
2022-08-26,noVALUE
2022-08-25,noVALUE
2022-08-24,noVALUE
2022-08-23,noVALUE
2022-08-22,noVALUE
2022-08-21,WE_0
2022-08-20,noVALUE
2022-08-19,noVALUE
2022-08-18,noVALUE
2022-08-17,noVALUE
2022-08-16,noVALUE
2022-08-15,VA_0
2022-08-14,WE_0
2022-08-13,noVALUE
2022-08-12,noVALUE
2022-08-11,noVALUE
2022-08-10,noVALUE
2022-08-09,noVALUE
2022-08-08,noVALUE
2022-08-07,WE_0
2022-08-06,noVALUE
2022-08-05,noVALUE
2022-08-04,noVALUE
2022-08-03,noVALUE
2022-08-02,noVALUE
2022-08-01,noVALUE
2022-07-31,WE_0
2022-07-30,noVALUE
2022-07-29,noVALUE
2022-07-28,noVALUE
2022-07-27,noVALUE
2022-07-26,noVALUE
2022-07-25,noVALUE
2022-07-24,WE_0
2022-07-23,noVALUE
2022-07-22,noVALUE
2022-07-21,noVALUE
2022-07-20,noVALUE
2022-07-19,noVALUE
2022-07-18,noVALUE
2022-07-17,WE_0
2022-07-16,noVALUE
2022-07-15,noVALUE
2022-07-14,noVALUE
2022-07-13,noVALUE
2022-07-12,noVALUE
2022-07-11,noVALUE
2022-07-10,WE_0
2022-07-09,noVALUE
2022-07-08,noVALUE
2022-07-07,noVALUE
2022-07-06,noVALUE
2022-07-05,noVALUE
2022-07-04,noVALUE
2022-07-03,WE_0
2022-07-02,noVALUE
2022-07-01,noVALUE
2022-06-30,noVALUE
2022-06-29,noVALUE
2022-06-28,noVALUE
2022-06-27,noVALUE
2022-06-26,WE_0
2022-06-25,noVALUE
2022-06-24,noVALUE
2022-06-23,noVALUE
2022-06-22,noVALUE
2022-06-21,noVALUE
2022-06-20,noVALUE
2022-06-19,WE_0
2022-06-18,noVALUE
2022-06-17,noVALUE
2022-06-16,noVALUE
2022-06-15,noVALUE
2022-06-14,noVALUE
2022-06-13,noVALUE
2022-06-12,WE_0
2022-06-11,noVALUE
2022-06-10,noVALUE
2022-06-09,noVALUE
2022-06-08,noVALUE
2022-06-07,noVALUE
2022-06-06,noVALUE
2022-06-05,WE_0
2022-06-04,noVALUE
2022-06-03,noVALUE
2022-06-02,VA_0
2022-06-01,noVALUE
2022-05-31,noVALUE
2022-05-30,noVALUE
2022-05-29,WE_0
2022-05-28,noVALUE
2022-05-27,noVALUE
2022-05-26,noVALUE
2022-05-25,noVALUE
2022-05-24,noVALUE
2022-05-23,noVALUE
2022-05-22,WE_0
2022-05-21,noVALUE
2022-05-19,noVALUE
2022-05-18,noVALUE
2022-05-16,noVALUE
2022-05-15,WE_0
2022-05-14,noVALUE
2022-05-12,noVALUE
2022-05-11,noVALUE
2022-05-10,noVALUE
2022-05-09,noVALUE
2022-05-08,WE_0
2022-05-07,noVALUE
2022-05-06,noVALUE
